Order_ID,Date,Customer_ID,Gender,Age,Product,Category,Quantity,Unit_Price,Sales,Discount_Percent,Discount_Amount,Revenue
ORD0019,2025-03-13 03:49:54.957983194,CUST0041,Male,41,Football,Sports,4,81.06,352.23,10,35.22,317.01
ORD0020,2025-03-16 21:22:41.344537816,CUST0038,Male,32,Jeans,Clothing,8,22.58,213.85,5,10.69,203.16
ORD0021,2025-03-20 14:55:27.731092438,CUST0034,Female,49,Running Shoes,Sports,7,26.58,207.64,0,0.0,207.64
ORD0022,2025-03-24 08:28:14.117647059,CUST0017,Male,49,Storage Box,Home & Kitchen,6,104.12,649.4,5,32.47,616.93
ORD0023,2025-03-28 02:01:00.504201681,CUST0037,Male,41,Shampoo,Beauty,5,14.73,83.66,0,0.0,83.66
ORD0024,2025-03-31 19:33:46.890756303,CUST0025,Male,58,Cookware Set,Home & Kitchen,5,118.62,594.3,0,0.0,594.3
ORD0025,2025-04-04 13:06:33.277310925,CUST0038,Male,29,Water Bottle,Home & Kitchen,6,104.75,716.78,5,35.84,680.94
ORD0026,2025-04-08 06:39:19.663865547,CUST0058,Female,56,Cookware Set,Home & Kitchen,4,29.76,141.16,5,7.06,134.1
ORD0027,2025-04-12 00:12:06.050420169,CUST0012,Male,19,Smart Watch,Electronics,4,47.3,211.8,15,31.77,180.03
ORD0028,2025-04-15 17:44:52.436974791,CUST0023,Female,20,Moisturizer,Beauty,2,74.13,176.96,5,8.85,168.11
ORD0029,2025-04-19 11:17:38.823529412,CUST0053,Female,54,Jeans,Clothing,5,43.07,217.49,10,21.75,195.74
ORD0030,2025-04-23 04:50:25.210084034,CUST0042,Male,34,Wireless Headphones,Electronics,6,88.74,655.06,10,65.51,589.55
ORD0031,2025-04-26 22:23:11.596638656,CUST0022,Female,19,Storage Box,Home & Kitchen,6,117.54,837.64,0,0.0,837.64
ORD0032,2025-04-30 15:55:57.983193278,CUST0021,Male,19,Keyboard,Electronics,2,172.35,338.86,10,33.89,304.97
ORD0033,2025-05-04 09:28:44.369747900,CUST0027,Male,45,Dumbbells,Sports,6,118.57,727.71,0,0.0,727.71
ORD0034,2025-05-08 03:01:30.756302522,CUST0057,Female,40,Running Shoes,Sports,2,94.84,231.59,20,46.32,185.27
ORD0035,2025-05-11 20:34:17.142857144,CUST0031,Female,54,Yoga Mat,Sports,3,56.38,178.53,0,0.0,178.53
ORD0036,2025-05-15 14:07:03.529411766,CUST0006,Female,49,Sneakers,Clothing,6,21.26,141.73,5,7.09,134.64
ORD0037,2025-05-19 07:39:49.915966388,CUST0027,Male,50,Bluetooth Speaker,Electronics,3,147.69,411.15,0,0.0,411.15
ORD0038,2025-05-23 01:12:36.302521010,CUST0040,Male,18,Dumbbells,Sports,5,74.96,396.93,20,79.39,317.54
ORD0039,2025-05-26 18:45:22.689075632,CUST0034,Female,36,Sneakers,Clothing,3,46.82,153.84,10,15.38,138.46
ORD0040,2025-05-30 12:18:09.075630254,CUST0012,Male,19,Running Shoes,Sports,4,110.45,412.08,10,41.21,370.87
ORD0041,2025-06-03 05:50:55.462184876,CUST0045,Male,61,Cricket Bat,Sports,4,29.34,118.24,0,0.0,118.24
ORD0042,2025-06-06 23:23:41.848739496,CUST0057,Female,43,Shampoo,Beauty,7,42.02,393.3,10,39.33,353.97
ORD0043,2025-06-10 16:56:28.235294118,CUST0053,Male,49,T-Shirt,Clothing,7,15.85,123.78,0,0.0,123.78
ORD0044,2025-06-14 10:29:14.621848740,CUST0007,Female,23,T-Shirt,Clothing,4,50.15,226.35,15,33.95,192.4
ORD0045,2025-06-18 04:02:01.008403362,CUST0010,Male,49,Lipstick,Beauty,6,13.66,86.02,0,0.0,86.02
ORD0046,2025-06-21 21:34:47.394957984,CUST0045,Female,21,Jacket,Clothing,5,23.91,144.41,0,0.0,144.41
ORD0047,2025-06-25 15:07:33.781512606,CUST0017,Male,28,Bluetooth Speaker,Electronics,5,52.04,307.97,0,0.0,307.97
ORD0048,2025-06-29 08:40:20.168067228,CUST0026,Female,34,Storage Box,Home & Kitchen,6,97.91,785.81,5,39.29,746.52
ORD0049,2025-07-03 02:13:06.554621850,CUST0021,Female,55,Dumbbells,Sports,3,94.1,333.52,10,33.35,300.17
ORD0050,2025-07-06 19:45:52.941176472,CUST0028,Male,41,Table Lamp,Home & Kitchen,5,90.0,565.34,0,0.0,565.34
ORD0051,2025-07-10 13:18:39.327731094,CUST0058,Female,22,Coffee Maker,Home & Kitchen,2,135.46,321.6,10,32.16,289.44
ORD0052,2025-07-14 06:51:25.714285716,CUST0046,Female,51,Wireless Headphones,Electronics,3,89.36,307.89,5,15.39,292.5
ORD0053,2025-07-18 00:24:12.100840338,CUST0002,Female,23,Cookware Set,Home & Kitchen,5,54.29,340.73,10,34.07,306.66
ORD0054,2025-07-21 17:56:58.487394960,CUST0060,Female,39,Cricket Bat,Sports,2,106.6,285.74,5,14.29,271.45
ORD0055,2025-07-25 11:29:44.873949582,CUST0054,Female,28,Power Bank,Electronics,4,67.42,341.89,5,17.09,324.8
ORD0056,2025-07-29 05:02:31.260504204,CUST0043,Female,65,Storage Box,Home & Kitchen,1,135.59,175.13,10,17.51,157.62
ORD0057,2025-08-01 22:35:17.647058824,CUST0001,Male,33,Football,Sports,9,19.24,198.91,0,0.0,198.91
ORD0058,2025-08-05 16:08:04.033613448,CUST0051,Male,50,Shampoo,Beauty,5,73.04,386.8,0,0.0,386.8
ORD0059,2025-08-09 09:40:50.420168068,CUST0053,Male,26,Cookware Set,Home & Kitchen,5,25.18,160.09,15,24.01,136.08
ORD0060,2025-08-13 03:13:36.806722692,CUST0036,Male,23,Storage Box,Home & Kitchen,4,126.94,546.4,15,81.96,464.44
ORD0061,2025-08-16 20:46:23.193277312,CUST0051,Male,33,Jacket,Clothing,5,54.58,296.34,5,14.82,281.52
ORD0062,2025-08-20 14:19:09.579831936,CUST0026,Male,46,Jeans,Clothing,4,89.47,408.83,5,20.44,388.39
ORD0063,2025-08-24 07:51:55.966386556,CUST0029,Female,20,Moisturizer,Beauty,7,14.8,116.02,10,11.6,104.42
ORD0064,2025-08-28 01:24:42.352941180,CUST0021,Male,37,Face Wash,Beauty,7,46.0,366.17,5,18.31,347.86
ORD0065,2025-08-31 18:57:28.739495800,CUST0011,Male,53,Running Shoes,Sports,3,116.87,341.58,0,0.0,341.58
ORD0066,2025-09-04 12:30:15.126050420,CUST0040,Female,36,Football,Sports,4,71.36,387.24,0,0.0,387.24
ORD0067,2025-09-08 06:03:01.512605044,CUST0011,Male,43,Cookware Set,Home & Kitchen,4,95.53,482.08,10,48.21,433.87
ORD0068,2025-09-11 23:35:47.899159664,CUST0036,Female,20,Cookware Set,Home & Kitchen,1,103.49,119.18,10,11.92,107.26
ORD0069,2025-09-15 17:08:34.285714288,CUST0049,Male,36,Perfume,Beauty,4,39.55,210.26,0,0.0,210.26
ORD0070,2025-09-19 10:41:20.672268908,CUST0059,Female,37,Cookware Set,Home & Kitchen,6,95.31,775.0,0,0.0,775.0
ORD0071,2025-09-23 04:14:07.058823532,CUST0039,Female,49,Table Lamp,Home & Kitchen,7,90.12,671.41,0,0.0,671.41
ORD0072,2025-09-26 21:46:53.445378152,CUST0040,Male,24,Face Wash,Beauty,5,68.58,362.99,10,36.3,326.69
ORD0073,2025-09-30 15:19:39.831932776,CUST0035,Male,58,Dumbbells,Sports,7,22.64,165.56,0,0.0,165.56
ORD0074,2025-10-04 08:52:26.218487396,CUST0054,Female,50,Jeans,Clothing,6,36.07,283.27,0,0.0,283.27
ORD0075,2025-10-08 02:25:12.605042020,CUST0034,Female,57,Hoodie,Clothing,9,86.28,878.69,10,87.87,790.82
ORD0076,2025-10-11 19:57:58.991596640,CUST0055,Female,56,Smart Watch,Electronics,4,164.09,830.59,0,0.0,830.59
ORD0077,2025-10-15 13:30:45.378151264,CUST0047,Female,35,Storage Box,Home & Kitchen,5,74.68,549.32,10,54.93,494.39
ORD0078,2025-10-19 07:03:31.764705884,CUST0024,Male,57,Bluetooth Speaker,Electronics,2,124.92,322.4,0,0.0,322.4
ORD0079,2025-10-23 00:36:18.151260508,CUST0054,Male,18,Hoodie,Clothing,4,35.8,166.41,0,0.0,166.41
ORD0080,2025-10-26 18:09:04.537815128,CUST0022,Male,28,Water Bottle,Home & Kitchen,6,42.57,365.34,0,0.0,365.34
ORD0081,2025-10-30 11:41:50.924369752,CUST0005,Female,45,T-Shirt,Clothing,4,49.78,256.65,10,25.66,230.99
ORD0082,2025-11-03 05:14:37.310924372,CUST0056,Female,42,Storage Box,Home & Kitchen,3,62.4,338.08,15,50.71,287.37
ORD0083,2025-11-06 22:47:23.697478992,CUST0033,Male,40,Keyboard,Electronics,3,119.63,539.41,15,80.91,458.5
ORD0084,2025-11-10 16:20:10.084033616,CUST0058,Male,48,Wireless Headphones,Electronics,4,46.27,262.85,5,13.14,249.71
ORD0085,2025-11-14 09:52:56.470588236,CUST0036,Male,47,Shampoo,Beauty,7,73.34,788.66,10,78.87,709.79
ORD0086,2025-11-18 03:25:42.857142860,CUST0047,Male,59,Jeans,Clothing,6,88.97,719.84,0,0.0,719.84
ORD0087,2025-11-21 20:58:29.243697480,CUST0020,Female,52,Keyboard,Electronics,3,136.23,582.93,5,29.15,553.78
ORD0088,2025-11-25 14:31:15.630252104,CUST0019,Female,24,Coffee Maker,Home & Kitchen,7,84.33,929.76,15,139.46,790.3
ORD0089,2025-11-29 08:04:02.016806724,CUST0035,Female,33,Moisturizer,Beauty,6,30.12,318.66,0,0.0,318.66
ORD0090,2025-12-03 01:36:48.403361348,CUST0052,Male,43,Wireless Headphones,Electronics,1,153.0,281.92,0,0.0,281.92
ORD0091,2025-12-06 19:09:34.789915968,CUST0043,Male,65,Table Lamp,Home & Kitchen,6,102.17,1018.88,0,0.0,1018.88
ORD0092,2025-12-10 12:42:21.176470592,CUST0017,Female,19,Power Bank,Electronics,6,58.58,589.86,0,0.0,589.86
ORD0093,2025-12-14 06:15:07.563025212,CUST0059,Female,18,Smart Watch,Electronics,1,167.08,264.22,0,0.0,264.22
ORD0094,2025-12-17 23:47:53.949579836,CUST0045,Female,65,Coffee Maker,Home & Kitchen,3,118.7,574.26,10,57.43,516.83
ORD0095,2025-12-21 17:20:40.336134456,CUST0043,Female,29,Storage Box,Home & Kitchen,2,133.98,467.59,5,23.38,444.21
ORD0096,2025-12-25 10:53:26.722689080,CUST0034,Female,22,Water Bottle,Home & Kitchen,2,107.09,385.51,15,57.83,327.68
ORD0097,2025-12-29 04:26:13.109243700,CUST0009,Female,54,Face Wash,Beauty,7,49.87,590.57,15,88.59,501.98
ORD0098,2026-01-01 21:58:59.495798320,CUST0026,Male,49,Football,Sports,8,60.66,475.66,5,23.78,451.88
ORD0099,2026-01-05 15:31:45.882352944,CUST0002,Male,26,Coffee Maker,Home & Kitchen,1,131.93,146.64,5,7.33,139.31
ORD0100,2026-01-09 09:04:32.268907564,CUST0053,Male,58,Jacket,Clothing,6,79.95,522.61,5,26.13,496.48
ORD0101,2026-01-13 02:37:18.655462188,CUST0009,Male,52,Face Wash,Beauty,6,12.94,72.26,10,7.23,65.03
ORD0102,2026-01-16 20:10:05.042016808,CUST0009,Female,36,T-Shirt,Clothing,6,16.98,120.72,5,6.04,114.68
ORD0103,2026-01-20 13:42:51.428571432,CUST0040,Male,65,T-Shirt,Clothing,5,43.23,216.4,10,21.64,194.76
ORD0104,2026-01-24 07:15:37.815126052,CUST0017,Female,33,Power Bank,Electronics,1,152.53,181.63,5,9.08,172.55
ORD0105,2026-01-28 00:48:24.201680676,CUST0001,Female,20,Wireless Headphones,Electronics,2,178.16,334.86,10,33.49,301.37
ORD0106,2026-01-31 18:21:10.588235296,CUST0025,Male,37,Football,Sports,5,33.34,200.6,5,10.03,190.57
ORD0107,2026-02-04 11:53:56.974789920,CUST0043,Male,41,Moisturizer,Beauty,6,48.62,337.22,5,16.86,320.36
ORD0108,2026-02-08 05:26:43.361344540,CUST0040,Female,50,Table Lamp,Home & Kitchen,5,65.71,328.84,15,49.33,279.51
ORD0109,2026-02-11 22:59:29.747899164,CUST0042,Male,41,T-Shirt,Clothing,4,87.74,388.11,10,38.81,349.3
ORD0110,2026-02-15 16:32:16.134453784,CUST0025,Male,28,Power Bank,Electronics,1,157.11,181.29,0,0.0,181.29
ORD0111,2026-02-19 10:05:02.521008408,CUST0039,Male,25,Power Bank,Electronics,2,156.56,309.79,15,46.47,263.32
ORD0112,2026-02-23 03:37:48.907563028,CUST0035,Male,53,Hoodie,Clothing,7,50.15,310.32,5,15.52,294.8
ORD0113,2026-02-26 21:10:35.294117648,CUST0003,Female,55,Coffee Maker,Home & Kitchen,6,69.78,419.97,15,63.0,356.97
ORD0114,2026-03-02 14:43:21.680672272,CUST0050,Female,57,Moisturizer,Beauty,5,27.77,150.44,10,15.04,135.4
ORD0115,2026-03-06 08:16:08.067226896,CUST0037,Female,37,Water Bottle,Home & Kitchen,6,26.77,187.94,5,9.4,178.54
ORD0116,2026-03-10 01:48:54.453781512,CUST0044,Female,52,T-Shirt,Clothing,6,79.85,532.26,0,0.0,532.26
ORD0117,2026-03-13 19:21:40.840336136,CUST0044,Female,65,Dumbbells,Sports,2,100.92,232.71,5,11.64,221.07
ORD0118,2026-03-17 12:54:27.226890760,CUST0051,Male,42,Shampoo,Beauty,6,74.98,557.69,10,55.77,501.92
ORD0119,2026-03-21 06:27:13.613445384,CUST0030,Female,52,Table Lamp,Home & Kitchen,2,139.6,293.26,10,29.33,263.93
ORD0120,2026-03-25 00:00:00.000000000,CUST0038,Female,42,Cookware Set,Home & Kitchen,5,86.65,474.93,5,23.75,451.18
