App,Category,Rating,Reviews,Size,Installs,Type,Price
AccuWeather,WEATHER,4.2,2800000,Varies with device,"100,000,000+",Free,0
Dictionary.com,BOOKS_AND_REFERENCE,4.5,650000,Varies with device,"10,000,000+",Free,0
Moon+ Reader Pro,BOOKS_AND_REFERENCE,4.6,65000,Varies with device,"1,000,000+",Paid,4.99
Mint,FINANCE,4.3,180000,Varies with device,"10,000,000+",Free,0
Wallet,FINANCE,4.6,110000,Varies with device,"5,000,000+",Free,0
Udemy,EDUCATION,4.5,1050000,Varies with device,"10,000,000+",Free,0
Coursera,EDUCATION,4.4,230000,Varies with device,"10,000,000+",Free,0
LinkedIn,BUSINESS,4.2,22000000,Varies with device,"1,000,000,000+",Free,0
Indeed Job Search,BUSINESS,4.4,5500000,Varies with device,"100,000,000+",Free,0
Google News,NEWS_AND_MAGAZINES,4.2,1300000,Varies with device,"1,000,000,000+",Free,0
Flipboard,NEWS_AND_MAGAZINES,4.1,1300000,Varies with device,"500,000,000+",Free,0
Zillow,HOUSE_AND_HOME,4.5,450000,Varies with device,"10,000,000+",Free,0
Houzz,HOUSE_AND_HOME,4.6,380000,Varies with device,"10,000,000+",Free,0
Pinterest,SOCIAL,4.6,43000000,Varies with device,"500,000,000+",Free,0
Reddit,SOCIAL,4.2,2400000,Varies with device,"100,000,000+",Free,0
Twitter,SOCIAL,4.3,18000000,Varies with device,"500,000,000+",Free,0
Telegram,COMMUNICATION,4.4,8500000,Varies with device,"500,000,000+",Free,0
Signal Private Messenger,COMMUNICATION,4.6,450000,Varies with device,"10,000,000+",Free,0
ABC Kids,FAMILY,4.6,38789,8M,"50,000+",Free,0
Kids Learning,FAMILY,4.7,52578,12M,"100,000+",Free,0
Family Locator,FAMILY,4.0,66367,16M,"500,000+",Free,0
Baby Tracker,FAMILY,4.1,80156,20M,"1,000,000+",Free,0
Chess,GAME,4.4,38789,8M,"50,000+",Free,0
Sudoku,GAME,4.5,52578,12M,"100,000+",Free,0
Fruit Ninja,GAME,4.6,66367,16M,"500,000+",Free,0
Angry Birds,GAME,4.7,80156,20M,"1,000,000+",Free,0
Flashlight,TOOLS,4.5,38789,8M,"50,000+",Free,0
QR Scanner,TOOLS,4.6,52578,12M,"100,000+",Free,0
File Manager,TOOLS,4.7,66367,16M,"500,000+",Free,0
Unit Converter,TOOLS,4.0,80156,20M,"1,000,000+",Free,0
Todoist,PRODUCTIVITY,4.4,38789,8M,"50,000+",Free,0
Trello,PRODUCTIVITY,4.5,52578,12M,"100,000+",Free,0
Notion,PRODUCTIVITY,4.6,66367,16M,"500,000+",Free,0
Google Calendar,PRODUCTIVITY,4.7,80156,20M,"1,000,000+",Free,0
Photo Editor,PHOTOGRAPHY,4.3,38789,8M,"50,000+",Free,0
VSCO,PHOTOGRAPHY,4.4,52578,12M,"100,000+",Free,0
Pixlr,PHOTOGRAPHY,4.5,66367,16M,"500,000+",Free,0
Photo Collage,PHOTOGRAPHY,4.6,80156,20M,"1,000,000+",Free,0
TripAdvisor,TRAVEL_AND_LOCAL,4.0,38789,8M,"50,000+",Free,0
Booking Travel,TRAVEL_AND_LOCAL,4.1,52578,12M,"100,000+",Free,0
Citymapper,TRAVEL_AND_LOCAL,4.2,66367,16M,"500,000+",Free,0
Uber,TRAVEL_AND_LOCAL,4.3,80156,20M,"1,000,000+",Free,0
Zomato,FOOD_AND_DRINK,4.6,38789,8M,"50,000+",Free,0
Swiggy,FOOD_AND_DRINK,4.7,52578,12M,"100,000+",Free,0
Allrecipes,FOOD_AND_DRINK,4.0,66367,16M,"500,000+",Free,0
BigOven,FOOD_AND_DRINK,4.1,80156,20M,"1,000,000+",Free,0
Amazon Shopping,SHOPPING,4.0,38789,8M,"50,000+",Free,0
eBay,SHOPPING,4.1,52578,12M,"100,000+",Free,0
Walmart,SHOPPING,4.2,66367,16M,"500,000+",Free,0
Etsy,SHOPPING,4.3,80156,20M,"1,000,000+",Free,0
ESPN,SPORTS,4.6,38789,8M,"50,000+",Free,0
FIFA,SPORTS,4.7,52578,12M,"100,000+",Free,0
NBA App,SPORTS,4.0,66367,16M,"500,000+",Free,0
Cricbuzz,SPORTS,4.1,80156,20M,"1,000,000+",Free,0
